,category,title,text
0,s7_priority,Как я могу зарегистрироваться в программе S7 Priority?,"На сайте s7.ru или в мобильном приложении S7, заполнив форму регистрации в программе.
Через  банк-партнер программы, оформив совместную банковскую карту S7 Priority.
По телефону Сервисного центра S7 Priority 8 800 100-77-11 (звонок по России бесплатно)."
1,s7_priority,Могу ли я зарегистрировать ребенка в программе?,"Можете, если ребенку уже исполнилось 2 года. Для этого понадобится свидетельство о рождении или загранпаспорт (если имеется). Мили за совершенные полеты  будут накапливаться на отдельном  счету вашего ребёнка."
2,s7_priority,Я забыл пароль/PIN-код к своему профилю в программе S7 Priority. Как его восстановить?,"1. При входе в личный кабинет S7 Priority нажмите на ссылку Забыли пароль.
2. В открывшемся окне введите email, который вы указали при регистрации в программе, и нажмите на кнопку «Получить письмо».
3. Проверьте почту — мы отправим вам письмо со ссылкой на страницу, где вы сможете задать новый пароль.
4. Для восстановления PIN-кода укажите номер участника программы и email, который вы указали при регистрации, и нажмите кнопку «Получить письмо»."
3,s7_priority,Как зайти в Личный кабинет программы S7 Priority?,"Для входа в Личный кабинет откройте вкладку S7 Priority на главной странице сайта и введите данные для идентификации: номер карты участника программы и PIN-код — они есть в письме, которое мы отправили на ваш email сразу после регистрации в программе.
Так же для входа в Личный кабинет подходят адрес электронной почты и пароль, которые были указаны вами при регистрации в S7 Priority."
4,s7_priority,Как изменить данные своего профиля в S7 Priority?,"В личном кабинете Вы можете самостоятельно изменить только почтовый адрес для доставки карты участника.
Чтобы изменить фамилию, имя, отчество, дату рождения, паспортные данные, а также адрес электронной почты и номер телефона, перейдите по этой ссылке, после  чего выберите  тему обращения и заполните заявление на изменение персональных данных. К заявлению требуется приложить копию документа, указанного в профиле (паспорт, загранпаспорт), а в случае изменения фамилии - копии подтверждающих  документов,  (паспорта с новой фамилией, свидетельства о заключении или расторжении брака).
Актуальные персональные и контактные данные необходимы для идентификации при обращении в Сервисный центр, корректных уведомлениях о транзакциях по счету, а также с целью предотвращения доступа третьих лиц."
5,s7_priority,"Как мне попасть в Личный кабинет, если я регистрировался в S7 Priority через «Альфа-Банк»?","В этом случае получить PIN для входа в Личный кабинет вы можете в сервисном центре S7 Priority по адресу priority@s7.ru.Приложите к письму сканированную копию документа, данные которого указали при регистрации через «Альфа Банк». Процедура идентификации производится с целью предотвращения доступа третьих лиц к вашему счёту."
6,s7_priority,Что такое временная карта? Зачем она нужна? Чем она отличается от именной карты?,"С помощью временной карты вы можете копить мили ещё до вступления в S7 Priority. Эта карта нужна, чтобы закрепить за вами персональный счёт в программе. Зарегистрироваться необходимо не позднее одного года с момента первого использования номера.
После первого полёта на рейсе S7 и регистрации в S7 Priority у вас появится возможность сделать заказ на получение именной карты, которая будет содержать информацию о вас: фамилию, имя, номер персонального счёта и статус в программе.
Вместе с тем обращаем Ваше внимание, что наличие пластиковой карты не обязательно для накопления миль. Однако если вы являетесь элитным участником программы, то наличие карты обязательно для получения привилегий."
7,s7_priority,Обязательно ли иметь карту для участия в программе?,"В соответствии с правилами программы S7 Priority, наличие карты не является обязательным для накопления миль. Для начисления миль достаточно указать номер счета при покупке билета либо при регистрации на рейс, а также при заказе/покупке услуг партнеров программы.
Участник может оформить заявку на изготовление классической карты — такая возможность появится только после совершения перелета по тарифу, участвующему в начислении миль. Для подачи заявки на изготовление карты необходимо обратиться в Сервисный центр по телефону 8 800 100-77-11 либо по адресу priority@s7.ru."
8,s7_priority,Я перешёл в следующий элитный статус. Как мне получить новую карту участника?,"После присвоения или продления Элитного статуса Вы получите запрос на указание адреса для доставки новой карты. В течение одного месяца после ответа на наш запрос  Ваша элитная Карта будет оформлена и отправлена.  На карте будет указан ваш статус в программе S7 Priority, эквивалентный ему Статус oneworld и срок действия нового статуса."
9,s7_priority,"Могу я участвовать в программе, если у меня нет карты участника S7 Priority?","Да, можете. Наличие карты не является обязательным для накопления миль. Для этого достаточно указывать номер Вашего счета при покупке билета либо при регистрации на рейс, а также покупке  услуг партнеров программы. Номер счета указан в приветственном письме, которое мы отправили сразу после регистрации в программе, либо на временной карте, по номеру которой вы регистрировались.
Однако если вы являетесь элитным участником программы, то наличие карты обязательно для получения привилегий."
