region_id;parent_id;regionname;cityname;code;stat;timezone;active;lat;lon;en_regionname;en_cityname;es_regionname;es_cityname;de_regionname;de_cityname;it_regionname;it_cityname;fr_regionname;fr_cityname
3430;46;;Яя;;0.000000;Asia/Novokuznetsk;0;56.200500;86.431587;Yaya;;Yaya;;Jaja;;Yaya;;Iaïa;
1023;6;;Яшкуль;;0.000000;Europe/Moscow;0;46.171041;45.341765;Yashkul;;Yashkul;;Jaschkul;;Yashkul;;Yashkul';
3429;46;;Яшкино;;0.000000;Asia/Novokuznetsk;0;55.876577;85.431194;Yashkino;;Yashkino;;Jaschkino;;Yashkino;;Iachkino;
1022;6;;Яшалта;;0.000000;Europe/Moscow;0;46.338250;42.272564;Yashalta;;Yashalta;;Jaschalta;;Yashalta;;Yashalta;
787;70;;Яхрома;;0.000000;Europe/Moscow;0;56.287553;37.477333;Yakhroma;;Yakhroma;;Jachroma;;Jachroma;;Iakhroma;
2281;448;;Яхимов;;0.000000;Europe/Prague;0;50.367000;12.917000;Jachymov;;Jáchymov;;Jachymov;;Jáchymov;;Jachyrnov;
1606;241;;Яунде;;0.000000;Africa/Douala;0;3.848642;11.498112;Yaounde;;Yaundé;;Yaoundé;;Yaoundé;;Yaoundé;
1980;186;;Яссы;;0.000000;Europe/Bucharest;0;47.159122;27.587851;Iasi;;Jasi;;Iasi;;Jasi;;Jasi;
822;94;;Ясный;;0.000000;Asia/Yekaterinburg;0;51.035411;59.885996;Yasny;;Yasny;;Jasny;;Jasnyj;;Iasny;
2621;127;;Ясногорск;;0.000000;Europe/Moscow;0;54.478433;37.691717;Yasnogorsk;;Yasnogorsk;;Jasnogorsk;;Jasnogorsk;;Iasnogorsk;
2009;195;;Ясна;;0.000000;Europe/Bratislava;0;48.900000;19.500000;Jasna;;Jasna;;Jasna;;Jasna;;Jasna;
4337;260;;Ясиноватая;;0.000000;Europe/Zaporozhye;0;47.127000;37.853000;Yasynuvata;;Yasynuvata;;Jassynuwata;;Yasynuvata;;Yasinouvata;
2544;112;;Ярцево;;0.000000;Europe/Moscow;0;55.064530;32.698466;Yartsevo;;Yartsevo;;Jarzewo;;Jarcevo;;Iartsevo;
147;188;Ярославская область;Ярославль;;0.002734;Europe/Moscow;1;57.637479;39.854156;Yaroslavl;Yaroslavl Oblast;Yaroslavl;Óblast de Yaroslavl;Jaroslawl;Oblast Jaroslawl;Jaroslavl';Oblast' di Jaroslavl';Iaroslavl;Oblast de Iaroslavl
2989;7;;Яровое;;0.000000;Asia/Barnaul;0;52.929763;78.619709;Yarovoye;;Yarovoie;;Jarowoje;;Jarovoe;;Iarovoïe;
4712;278;;Ярмолинцы;;0.000000;Europe/Kiev;0;49.192000;26.839000;Yarmolyntsi;;Yarmolyntsi;;Jarmolynzi;;Yarmolyntsi;;Yarmolyntsi;
2640;128;;Ярково;;0.000000;Asia/Yekaterinburg;0;57.398547;67.062436;Yarkovo;;Yarkovo;;Jarkowo;;Jarkovo;;Yarkovo;
2924;3;;Яренск;;0.000000;Europe/Moscow;0;62.176292;49.090244;Yarensk;;Yarensk;;Jarensk;;Jarensk;;Iarensk;
4408;264;;Яремча;;0.000000;Europe/Uzhgorod;0;48.460000;24.558000;Yaremche;;Yaremche;;Jaremtsche;;Jaremča;;Yaremtcha;
3467;22;;Яранск;;0.000000;Europe/Kirov;0;57.300309;47.855967;Yaransk;;Yaransk;;Jaransk;;Jaransk;;Iaransk;
886;172;;Яр-Сале;;0.000000;Asia/Yekaterinburg;0;66.863005;70.835297;Yar-Sale;;Yar-Sale;;Jar-Sale;;Jar-Sale;;Yar-Sale;
3287;39;;Яр;;0.000000;Europe/Samara;0;58.245832;52.106772;Yar;;Yar;;Jar;;Yar;;Yar;
1725;248;;Яньчи;;0.000000;Asia/Urumqi;0;37.783000;107.400000;Yanqi;;Yanqi;;Yanqi;;Karasahr;;Yanqi;
2813;140;;Янтиково;;0.000000;Europe/Moscow;0;55.511566;47.774648;Yantikovo;;Yantikovo;;Jantikowo;;Yantikovo;;Iantikovo;
3382;43;;Янтарный;;0.000000;Europe/Kaliningrad;0;54.861173;19.950206;Yantarny;;Yantarny;;Jantarny;;Jantarnyj;;Iantarny;
1875;411;;Янгор;;0.000000;Pacific/Nauru;0;-9.617000;166.917000;Aiwo;;Aiwo;;Aiwo;;Aiwo;;Aiwo;
1873;160;;Янгон;;0.000000;Asia/Rangoon;0;16.807065;96.131669;Yangon;;Rangún;;Rangun;;Yangon;;Rangoun;
2758;134;;Янаул;;0.000000;Asia/Yekaterinburg;0;56.274327;54.930222;Yanaul;;Yanaul;;Janaul;;Janaul;;Ianaoul;
1913;63;;Ян-Майен;;0.000000;Arctic/Longyearbyen;0;70.933000;-8.667000;Jan Mayen;;Jan Mayen;;Jan Mayen;;Jan Mayen;;Jan Mayen;
4257;257;;Ямполь;;0.000000;Europe/Kiev;0;48.243530;28.299470;Yampil;;Yampil;;Jampil;;Yampil';;Yampil;
4627;274;;Ямполь;;0.000000;Europe/Kiev;0;51.947000;33.787000;Yampil;;Yampil;;Jampil;;Yampil;;Yampil;
885;172;;Ямбург;;0.000000;Asia/Yekaterinburg;0;68.350000;77.133000;Yamburg;;Yamburg;;Jamburg;;Jamburg;;Yamburg;
2812;140;;Яльчики;;0.000000;Europe/Moscow;0;55.161268;48.009221;Yalchiki;;Yalchiki;;Jaltschiki;;Yalchiki;;Ialchiki;
958;128;;Ялуторовск;;0.000000;Asia/Yekaterinburg;0;56.654222;66.306467;Yalutorovsk;;Yalutorovsk;;Jalutorowsk;;Jalutorovsk;;Ialoutorovsk;
1724;248;;Ялунвань;;0.000000;Asia/Chongqing;0;18.237000;109.625000;Yalong Bay;;Yalong Bay;;Yalong Bay;;Yalong Bay;;Baie de Yalong;
2196;256;;Ялта;;0.000000;Europe/Simferopol;0;44.505385;34.181560;Yalta;;Yalta;;Jalta;;Jalta;;Yalta;
4810;260;;Ялта;;0.000000;Europe/Zaporozhye;0;46.966000;37.266000;Yalta;;Yalta;;Jalta;;Jalta;;Yalta;
4230;191;Яловенский район;Яловены;;0.000020;Europe/Chisinau;1;46.950000;28.783333;Ialoveni;Ialoveni District;Ialoveni;Distrito de Ialoveni;Ialoveni;;Ialoveni;;Ialoveni;
3288;39;;Якшур-Бодья;;0.000000;Europe/Samara;0;57.184950;53.155002;Yakshur-Bodya;;Yakshur-Bodya;;Jaksshur-Bodja;;Yakshur-Bodya;;Iakchour-Bodya;
931;117;;Якша;;0.000000;Europe/Moscow;0;61.825455;56.821072;Yaksha;;Yaksha;;Yaksha;;Yaksha;;Yaksha;
146;188;Республика Саха (Якутия);Якутск;;0.006229;Asia/Yakutsk;1;62.05028;129.708981;Yakutsk;Sakha Republic (Yakutia);Yakutsk;República de Sajá (Yakutia);Jakutsk;Republik Sacha (Jakutien);Jakutsk;Sacha-Jacuzia;Yakoutsk;République de Sakha (Yakoutie)
3097;18;;Яковлевка;;0.000000;Asia/Vladivostok;0;44.425446;133.469637;Yakovlevka;;Yakovlevka;;Jakowlewka;;Jakovlevka;;Iakovlevka;
2757;134;;Языково;;0.000000;Asia/Yekaterinburg;0;54.690899;55.018369;Yazykovo;;Yazykovo;;Jasykowo;;Jazykovo;;Yazykovo;
2811;140;;Ядрин;;0.000000;Europe/Moscow;0;55.939143;46.203328;Yadrin;;Yadrin;;Jadrin;;Jadrin;;Iadrine;
4437;265;;Яготин;;0.000000;Europe/Kiev;0;50.256000;31.781000;Yahotyn;;Yagotyn;;Jahotyn;;Yagotyn;;Yagotyn;
3605;62;;Ягодное;;0.000000;Asia/Magadan;0;62.526325;149.623755;Yagodnoye;;Yagodnoye;;Jagodnoje;;Jagodnoe;;Iagodnoïe;
4526;268;;Яворов;;0.000000;Europe/Uzhgorod;0;49.946000;23.393000;Yavoriv;;Yávoriv;;Jaworiw;;Javoriv;;Yavoriv;
4177;370;;Явленка;;0.000000;Asia/Almaty;0;54.353920;68.476695;Yavlenka;;Yavlenka;;Yavlenka;;Yavlenka;;Iavlenka;
3404;44;;Юхнов;;0.000000;Europe/Moscow;0;54.747738;35.245613;Yukhnov;;Yújnov;;Juchnow;;Juchnov;;Ioukhnov;
3819;97;;Юсьва;;0.000000;Asia/Yekaterinburg;0;58.955841;54.963915;Yusva;;Yusva;;Juswa;;Jusva;;Iousva;
1008;141;;Юрюзань;;0.000000;Asia/Yekaterinburg;0;54.861207;58.424619;Yuryuzan;;Yuriuzán;;Jurjusan;;Jurjuzan';;Iouriouzan;
3466;22;;Юрья;;0.000000;Europe/Kirov;0;59.044756;49.282863;Yurya;;Yurya;;Jurja;;Yurya;;Iouria;
4300;259;;Юрьевка;;0.000000;Europe/Zaporozhye;0;48.739000;36.023000;Yuryivka;;Yurivka;;Jurjiwka;;Yuryivka;;Youriivka;
506;38;;Юрьевец;;0.000000;Europe/Moscow;0;57.311269;43.096730;Yuryevets;;Yúrievets;;Jurjewez;;Jur'evec;;Iourievets;
564;20;;Юрьев-Польский;;0.000000;Europe/Moscow;0;56.500748;39.672657;Yuryev-Polsky;;Yúriyev-Polski;;Jurjew-Polski;;Jur'ev-Pol'skij;;Iouriev-Polski;
957;128;;Юровск;;0.000000;Asia/Yekaterinburg;0;59.453041;69.049276;Yurovsk;;Yurovsk;;Jurowsk;;Jurovsk;;Yurovsk;
1766;26;;Юрмала;;0.000041;Europe/Riga;1;56.952700;23.668200;Jurmala;;Jurmala;;Jurmala;;Jūrmala;;Jurmala;
3818;97;;Юрла;;0.000000;Asia/Yekaterinburg;0;59.324941;54.320025;Yurla;;Yurla;;Jurla;;Yurla;;Iourla;
2535;41;;Юрино;;0.000000;Europe/Moscow;0;56.291121;46.291936;Yurino;;Yurino;;Jurino;;Yurino;;Yurino;
2639;128;;Юргинское;;0.000000;Asia/Yekaterinburg;0;56.820307;67.389673;Yurginskoye;;Yurginskoye;;Jurginskoje;;Jurginskoe;;Yurginskoïe;
3547;56;;Юргамыш;;0.000000;Asia/Yekaterinburg;0;55.372062;64.462615;Yurgamysh;;Yurgamysh;;Jurgamysch;;Jurgamyš;;Iourgamich;
3428;46;;Юрга;;0.000000;Asia/Novokuznetsk;0;55.720370;84.932622;Yurga;;Yurga;;Jurga;;Jurga;;Iourga;
5375;27;;Юрбакркас;;0.000001;Europe/Vilnius;1;55.081020;22.772280;Jurbarkas;;Jurbarkas;;Jurbarkas;;Jurbarkas;;Jurbarkas;
3290;39;;Юкаменское;;0.000000;Europe/Samara;0;57.886730;52.240262;Yukamenskoye;;Yukamenskoye;;Jukamenskoje;;Yukamenskoye;;Ioukamenskoïe;
1007;141;;Южноуральск;;0.000000;Asia/Yekaterinburg;0;54.448404;61.259505;Yuzhnouralsk;;Yuzhnouralsk;;Juschnouralsk;;Južnoural'sk;;Ioujnoouralsk;
4544;269;;Южноукраинск;;0.000000;Europe/Zaporozhye;0;47.822000;31.177000;Yuzhnoukrainsk;;Yuzhnoukrayinsk;;Juschnoukrajinsk;;Yuzhnoukrainsk;;Youjnooukraïnsk;
4572;270;;Южное;;0.000000;Europe/Zaporozhye;0;46.624000;31.102000;Yuzhne;;Yuzhne;;Juschne;;Yuzhne;;Youjne;
3643;66;;Южно-Сухокумск;;0.000000;Europe/Moscow;0;44.662186;45.649735;Yuzhno-Sukhokumsk;;Yuzhno-Sukhokumsk;;Juschno-Suchokumsk;;Južno-Suchokumsk;;Ioujno-Soukhokoumsk;
145;188;Сахалинская область;Южно-Сахалинск;;0.005137;Asia/Sakhalin;1;46.940901;142.743970;Yuzhno-Sakhalinsk;Sakhalin Oblast;Yuzhno-Sajalinsk;Óblast de Sajalín;Juschno-Sachalinsk;Oblast Sachalin;Južno-Sachalinsk;Oblast' di Sachalin;Ioujno-Sakhalinsk;Oblast de Sakhaline
1040;145;;Южно-Курильск;;0.000000;Asia/Sakhalin;0;44.017000;145.867000;Yuzhno-Kurilsk;;Yuzhno-Kurilsk;;Juschno-Kurilsk;;Južno-Kuril'sk;;Ioujno-Kourilsk;
3285;38;;Южа;;0.000000;Europe/Moscow;0;56.576649;42.044373;Yuzha;;Yuzha;;Juscha;;Juža;;Iouja;
4915;330;;Юджин;;0.000000;America/Los_Angeles;0;44.052410;-123.086240;Eugene;;Eugene;;Eugene;;Eugene;;Eugene;
990;11;;Югорск;;0.000000;Asia/Yekaterinburg;0;61.311512;63.337694;Yugorsk;;Yugorsk;;Jugorsk;;Jugorsk;;Iougorsk;
